plot,SR_real,year_mean,year_cv,ntrees,total_biomass,gini,H,H_normalized
5,4,2016.23353293413,0.000398027103690452,668,142113.100816825,0.872800168833643,0.248040178843661,0.411985819380821
50,2,2016.46217105263,0.000536016902397975,608,19528.411216504,0.848948118912165,0.144027567604173,0.478449223262591
51,1,2016.00858369099,4.57913625493772e-05,699,355372.351123988,0.710663377541977,0,
52,6,2016.03025936599,0.000141461862314642,694,200572.145755282,0.773048124042485,0.597714290105492,0.768120965957206
53,1,2016.1964549483,0.000317419004786896,677,24354.96916655,0.733417945381218,0,
54,4,2016.0336749634,0.000165828855219642,683,15286.516519119,0.770812497092278,0.55980343816339,0.929813384424753
55,6,2016.25496183206,0.000430362205507008,655,108773.564874813,0.824354008600069,0.550830835803849,0.707871169688771
56,1,2016.06821705426,0.00022541101385747,645,392505.930808341,0.687987608637506,0,
57,2,2016.33903576983,0.000491326615908875,643,196599.356847635,0.829842048036981,0.0892277607086338,0.296408205141897
58,1,2018.2109375,0.000571718903552472,384,425.445158563,0.566716288366207,0,
59,1,2016.38689547582,0.000414953421336566,641,393257.721605982,0.69262580391357,0,
6,2,2016.02623906706,0.000122131434028252,686,248291.642830395,0.762715275721909,0.183140260565795,0.608378776878507
60,1,2016.14918759232,0.000365921391574125,677,2669.134388261,0.61500182164461,0,
61,2,2016.3905511811,0.00054052965790135,635,2810.917407324,0.663857969832091,0.298888549686205,0.992886270442743
62,2,2016.03498542274,0.000172828278360953,686,187033.818379816,0.813321099642209,0.0972837127440608,0.323169498539447
63,2,2016.25465838509,0.000396155807912727,644,14893.476624046,0.844643585762017,0.172024561482528,0.571453223799487
64,2,2016.00862068966,4.58892292701438e-05,696,199276.907546974,0.801947878595866,0.100783842036007,0.334796676370101
65,2,2016.26315789474,0.000439834800604685,646,174893.38425896,0.823168994376071,0.0445421690800873,0.147965882874365
66,4,2016.03165467626,0.000140023074072825,695,160449.480226199,0.82729475628144,0.374864036696706,0.622635687632837
67,2,2016.22633136095,0.000367390139005344,676,18626.22512208,0.75953953256187,0.291698825390961,0.969002523311876
68,1,2016.59965337955,0.000587508879889275,577,1515.44779976,0.649058824900933,0,
69,1,2016.10279001468,0.000272209220171942,681,143404.742681308,0.5030102191971,0,
7,4,2016.10979228487,0.00028862037270466,674,21367.84008474,0.808138684898355,0.474664909855327,0.788401349852793
70,1,2016.10014727541,0.000216514744120157,679,474431.820500619,0.664067909115215,0,
71,1,2016.02298850575,0.000118450287713823,696,422755.284042112,0.684143530755398,0,
72,4,2016.22321428571,0.000380306249280963,672,156530.238166722,0.826359587964359,0.333068200137745,0.553214305775571
73,2,2016.34672619048,0.000430764679020177,672,66098.090799622,0.745257063988301,0.167550359899206,0.556590247857661
74,4,2016.44084278768,0.000531702402440628,617,135916.0611422,0.909638429857515,0.0614206691867507,0.102017523289125
75,4,2016.2242703533,0.000351923803649314,651,194213.963818368,0.808088880451209,0.377141533494091,0.626418527931462
76,2,2016.6904315197,0.00056222218598061,533,168813.669111037,0.817724891023548,0.00755841084384168,0.025108497334859
77,2,2016.05194805195,0.000224795655646659,693,164527.646180011,0.814056450389755,0.0864028701547896,0.2870241218461
78,12,2016.27910447761,0.000456513969394248,670,163409.10709869,0.832785178564574,0.775673539841445,0.718761137373596
79,4,2016.11611030479,0.000245619117566835,689,109402.06509378,0.87431120227525,0.215514950245275,0.357962584044015
8,1,2016.14934114202,0.000320501524506618,683,136562.267900883,0.517139959066788,0,
80,2,2016.86071428571,0.000639230908962873,560,2084.660825214,0.729586749517349,0.163464961676283,0.543018848722131
81,2,2016,0,674,511987.070463226,0.674776548491712,0.295962279027524,0.983165409728423
82,2,2016.10740203193,0.000243676977193152,689,43440.974329091,0.752950896978323,0.296514676398722,0.985000434075348
83,12,2016.25791139241,0.000414609312017931,632,122234.564489927,0.854968021046537,0.736939205025979,0.682868802367473
84,12,2016.14710485133,0.000292692940084281,639,158574.236843978,0.841384094442061,0.754390354705201,0.699039533413008
85,4,2016.04927536232,0.000179594222078208,690,437705.330079208,0.670666116625442,0.57598340220844,0.956687722992513
86,6,2016.04941860465,0.000202339710383042,688,164641.205084992,0.841474478817803,0.494572046188714,0.635573156176104
87,4,2016.058910162,0.000197640538549882,679,308587.313600827,0.799986694718981,0.379037460060843,0.62956759379543
88,12,2016.08695652174,0.000222612041534311,690,160314.143098899,0.811340342599929,0.795859429864415,0.737465956510232
89,1,2016.13149847095,0.000327500165551436,654,442196.712661584,0.676046240361099,0,
9,1,2016,0,696,364510.357992374,0.69803400703491,0,
90,4,2016.07100591716,0.000200772204720823,676,161073.404942957,0.755653427439599,0.474356682224223,0.787889394839102
91,4,2016.10849056604,0.000292954367090934,636,219691.475811908,0.774729485966073,0.448109377980197,0.744293566147458
92,6,2016.33046471601,0.000500441034306862,581,33870.959825899,0.797694153104393,0.434106416775935,0.557868944581034
93,4,2016.12599681021,0.000319068418932361,627,201798.94913819,0.795965001155951,0.412277107148346,0.684777452557488
94,4,2016.10093167702,0.000271349663004856,644,262617.523637347,0.734129836569646,0.520642320247664,0.86476817550903
95,2,2016.25931677019,0.000425693593025725,644,80389.19379775,0.727764398441765,0.118103071317289,0.392329910701388
96,1,2016.20338983051,0.000358819217671976,649,7283.96872875,0.797857233100976,0,
97,1,2016.09821428571,0.000264991346464139,672,127240.959227261,0.528764158914432,0,
98,4,2016.15703703704,0.000343545974721827,675,287293.750105749,0.746964617686196,0.534373485213961,0.887575146847567
99,4,2016.08571428571,0.000265408204590474,665,231561.237550867,0.738385740657088,0.48382287002096,0.803612392435831
